admin.Abbreviation,Abbreviation,1
admin.about.AdminDirectoryChanged,Admin Directory Changed:,1
admin.about.AssemblyDomain,Assembly Domain:,1
admin.about.AssemblyName,Assembly Name:,1
admin.about.AssemblyVersion,Assembly Version:,1
admin.about.Details,Details,1
admin.about.FreeShippingMethods,Free Shipping Methods:,1
admin.about.FreeShippingRateSelection,Free Shipping Rate Selection:,1
admin.about.FreeShippingThreshold,Free Shipping Threshold:,1
admin.about.GatewayInformation,Gateway Information:,1
admin.about.LicenseCreatedOn,License Created On:,1
admin.about.LicenseDomain,License Domain:,1
admin.about.LicenseID,License ID:,1
admin.about.LicenseInformation,License Information:,1
admin.about.LicenseProductName,License Product Name:,1
admin.about.LicenseProductVersion,License Product Version:,1
admin.about.LicenseStatus,License Status:,1
admin.about.LocalizationInformation,Localization Information:,1
admin.about.LocalizationStoreCurrency,Localization Store Currency:,1
admin.about.LocalizationStoreCurrencyCode,Localization Store Currency Code:,1
admin.about.OriginCountry,Origin Country:,1
admin.about.OriginState,Origin State:,1
admin.about.OriginZip,Origin Zip:,1
admin.about.PageName,Page Name:,1
admin.about.ProductIsML,Product Is ML:,1
admin.about.ProductLevel,Product Level:,1
admin.about.ShippingCalculation,Shipping Calculation:,1
admin.about.ShippingInformation,Shipping Information:,1
admin.about.SystemInformation,System Information:,1
admin.AddState,Create State,1
admin.adhoccharge.OriginalOrderLastFour,(Original Order Last4: {0},1
admin.adhoccharge.ViewedCardNumber,Viewed card number: {0} while making adhoc charge from order: {1},1
admin.adjustcharge.AdjustChargeForOrder,Adjust Charge CAPTURE Total For Order:,1
admin.adjustcharge.AppliesToAuthWarning,This capability ONLY applies to AUTH transactions before CAPTURE!,1
admin.adjustcharge.CustomerServiceNotes,Customer Service Notes For Order:,1
admin.adjustcharge.ManualAdjustWarning,Manually adjust the order total before CAPTURING it.,1
admin.adjustcharge.NewOrderTotal,New Order Total:,1
admin.adjustcharge.NewOrderTotalWarning,"Please enter the new order TOTAL amount, e.g. 25.00",1
admin.affiliate.Create,Create Affiliate,1
admin.Affiliate.Edit,Edit Affiliate,1
admin.affiliates.Affiliates,Manage Affiliates,1
admin.affiliates.AffiliateSearch,Affiliate Search:,1
admin.affiliates.Notice,There are {0} affiliates in the system.,1
admin.amazontransaction.UpdateTransaction,UPDATE TRANSACTION:,1
admin.appconfig.AddAppConfig,Add Setting,1
admin.appconfig.AddSettings,Create Setting,1
admin.appconfig.ConfigGroups,Setting Group:,1
admin.appconfig.SaveInProgress,Saving in progress,1
admin.appconfig.SearchFields,"Search Name, Description, Value",1
admin.appconfig.SettingUpdated,Setting Updated,1
admin.asyncstatus.EstimatedTimeRemaining,Estimated Time Remaining,1
admin.atom.integerError,Invalid Number for {0}. Make sure to check MoreStore settings.,1
admin.atom.moreStoreSettings,MoreStore Settings,1
admin.autofill.BadLineFormat,Bad Line Format: {0},1
admin.autofill.ErrorOnLine,"Error On Line: {0}, SKIPPING LINE",1
admin.autofill.Executing,Executing: {0},1
admin.autofill.NoProductIdSpecified,No Product ID Specified!,1
admin.autofill.ProductMiscTextEmpty,Product MiscText Is Empty!,1
admin.BadWord.EnterBadWordBelow,"Enter Bad Word Below, then click Save:",1
admin.BadWord.EntryRequired,Please enter the bad word to add,1
